end_period_ts,open_interest,volume,price.close,price.close_dollars,price.high,price.high_dollars,price.low,price.low_dollars,price.max,price.max_dollars,price.mean,price.mean_dollars,price.min,price.min_dollars,price.open,price.open_dollars,price.previous,price.previous_dollars,yes_ask.close,yes_ask.close_dollars,yes_ask.high,yes_ask.high_dollars,yes_ask.low,yes_ask.low_dollars,yes_ask.open,yes_ask.open_dollars,yes_bid.close,yes_bid.close_dollars,yes_bid.high,yes_bid.high_dollars,yes_bid.low,yes_bid.low_dollars,yes_bid.open,yes_bid.open_dollars,market
1761796800,57087,4485202,11.0,0.1100,12.0,0.1200,10.0,0.1000,,,11.0,0.1140,,,11.0,0.1100,10.0,0.1000,11,0.1100,12,0.1200,11,0.1100,11,0.1100,10,0.1000,11,0.1100,10,0.1000,10,0.1000,KXNFLGAME-25NOV02NOLA-NO
1761883200,73529,4485202,11.0,0.1100,12.0,0.1200,10.0,0.1000,,,11.0,0.1115,,,11.0,0.1100,11.0,0.1100,11,0.1100,12,0.1200,11,0.1100,11,0.1100,10,0.1000,11,0.1100,10,0.1000,10,0.1000,KXNFLGAME-25NOV02NOLA-NO
1761969600,110294,4485202,11.0,0.1100,12.0,0.1200,10.0,0.1000,,,11.0,0.1145,,,11.0,0.1100,11.0,0.1100,11,0.1100,12,0.1200,11,0.1100,11,0.1100,10,0.1000,11,0.1100,10,0.1000,10,0.1000,KXNFLGAME-25NOV02NOLA-NO
1762056000,179691,4485202,12.0,0.1200,12.0,0.1200,10.0,0.1000,,,10.0,0.1058,,,11.0,0.1100,11.0,0.1100,12,0.1200,12,0.1200,11,0.1100,11,0.1100,11,0.1100,11,0.1100,10,0.1000,10,0.1000,KXNFLGAME-25NOV02NOLA-NO
1761537600,6837,2156296,91.0,0.9100,91.0,0.9100,84.0,0.8400,,,89.0,0.8928,,,87.0,0.8700,88.0,0.8800,90,0.9000,91,0.9100,81,0.8100,88,0.8800,89,0.8900,89,0.8900,80,0.8000,84,0.8400,KXNFLGAME-25NOV02NOLA-LA
1761624000,14170,2156296,91.0,0.9100,91.0,0.9100,89.0,0.8900,,,90.0,0.9060,,,89.0,0.8900,91.0,0.9100,91,0.9100,91,0.9100,89,0.8900,90,0.9000,90,0.9000,90,0.9000,88,0.8800,89,0.8900,KXNFLGAME-25NOV02NOLA-LA
1761710400,21389,2156296,90.0,0.9000,91.0,0.9100,88.0,0.8800,,,89.0,0.8989,,,91.0,0.9100,91.0,0.9100,90,0.9000,91,0.9100,89,0.8900,91,0.9100,89,0.8900,90,0.9000,88,0.8800,90,0.9000,KXNFLGAME-25NOV02NOLA-LA
1761796800,35900,2156296,90.0,0.9000,90.0,0.9000,89.0,0.8900,,,89.0,0.8998,,,90.0,0.9000,90.0,0.9000,90,0.9000,90,0.9000,90,0.9000,90,0.9000,89,0.8900,89,0.8900,89,0.8900,89,0.8900,KXNFLGAME-25NOV02NOLA-LA
1761883200,50251,2156296,90.0,0.9000,90.0,0.9000,89.0,0.8900,,,89.0,0.8957,,,90.0,0.9000,90.0,0.9000,90,0.9000,90,0.9000,90,0.9000,90,0.9000,89,0.8900,89,0.8900,88,0.8800,89,0.8900,KXNFLGAME-25NOV02NOLA-LA
1761969600,93423,2156296,90.0,0.9000,90.0,0.9000,89.0,0.8900,,,89.0,0.8999,,,90.0,0.9000,90.0,0.9000,90,0.9000,90,0.9000,90,0.9000,90,0.9000,89,0.8900,89,0.8900,89,0.8900,89,0.8900,KXNFLGAME-25NOV02NOLA-LA
