end_period_ts,open_interest,volume,price.close,price.high,price.low,price.max,price.mean,price.min,price.open,price.previous,price.previous_dollars,yes_ask.close,yes_ask.close_dollars,yes_ask.high,yes_ask.high_dollars,yes_ask.low,yes_ask.low_dollars,yes_ask.open,yes_ask.open_dollars,yes_bid.close,yes_bid.close_dollars,yes_bid.high,yes_bid.high_dollars,yes_bid.low,yes_bid.low_dollars,yes_bid.open,yes_bid.open_dollars,price.close_dollars,price.high_dollars,price.low_dollars,price.mean_dollars,price.open_dollars,market
1764036000,3147,3981821,19.0,19.0,19.0,,19.0,,19.0,19.0,0.1900,19,0.1900,19,0.1900,19,0.1900,19,0.1900,17,0.1700,17,0.1700,17,0.1700,17,0.1700,0.1900,0.1900,0.1900,0.1900,0.1900,KXNFLGAME-25NOV30LVLAC-LV
1764039600,3168,3981821,17.0,19.0,17.0,,18.0,,19.0,19.0,0.1900,19,0.1900,19,0.1900,19,0.1900,19,0.1900,17,0.1700,17,0.1700,17,0.1700,17,0.1700,0.1700,0.1900,0.1700,0.1851,0.1900,KXNFLGAME-25NOV30LVLAC-LV
1764043200,3168,3981821,,,,,,,,17.0,0.1700,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,17,0.1700,17,0.1700,,,,,,KXNFLGAME-25NOV30LVLAC-LV
1764046800,3310,3981821,20.0,20.0,19.0,,19.0,,20.0,17.0,0.1700,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.1900,0.1993,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764050400,3360,3981821,20.0,20.0,20.0,,20.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764054000,3381,3981821,20.0,20.0,20.0,,20.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764057600,3381,3981821,,,,,,,,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,,,,,,KXNFLGAME-25NOV30LVLAC-LV
1764061200,3387,3981821,20.0,20.0,20.0,,20.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764064800,3488,3981821,20.0,20.0,20.0,,20.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764068400,3488,3981821,,,,,,,,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,,,,,,KXNFLGAME-25NOV30LVLAC-LV
